stationIndex	name	address	lon	lat	desc
253	신풍역 5번출구 인근	서울특별시 영등포구 신길동3596	126.909378	37.500702	-
254	도림신협 앞	서울특별시 영등포구 신길동263-76	126.903419	37.503803	-
255	도림4거리	서울특별시 영등포구 신길동373-1	126.901131	37.506573	-
256	동아에코빌입구	서울특별시 영등포구 도림동 159-70	126.8993	37.509476	-
257	신길삼거리(우리은행)	서울특별시 영등포구 신길동95-256	126.919357	37.513844	-
258	신길역3번출구	서울특별시 영등포구 영등포동1가35	126.914299	37.517693	-
259	대방역6번출구	서울특별시 영등포구 신길동1368	126.925934	37.513592	-
260	여의도 마리나선착장 앞	서울특별시 영등포구 여의서로 160	126.912491	37.533817	-
262	영문초등학교 사거리	서울특별시 영등포구 문래로 56	126.889183	37.519928	-
263	근로자회관 사거리	서울특별시 영등포구 선유로 34	126.888626	37.517151	-
264	교보생명보험 앞	서울특별시 영등포구 영등포로 96	126.891617	37.521931	-
265	영등포유통상가 사거리	서울특별시 영등포구 영등포로 124	126.896538	37.521133	-
266	영등포청과시장 사거리	서울특별시 영등포구 영등포로 177	126.901093	37.520447	-
267	삼성화재 사옥 옆	서울특별시 영등포구 양평로 76	126.8983	37.535961	-
268	그랜드컨벤션센터 앞	서울특별시 영등포구 양평로 58	126.900002	37.534718	-
270	증권거래소후문교차로	서울특별시 영등포구 여의나루로 76	126.927101	37.522343	-
271	샛강생태공원방문자센터 앞	서울특별시 영등포구 여의동로 48	126.921616	37.518963	-
272	당산육갑문	서울특별시 영등포구 당산로52길 3	126.903679	37.535339	-
274	영등포역지하쇼핑센타 5번출구	서울특별시 영등포구 경인로 846	126.90799	37.516651	-
275	신동아아파트	서울특별시 영등포구 선유서로 76	126.885651	37.522816	-
276	SK 영등포주유소	서울특별시 영등포구 경인로112길 1	126.912636	37.518284	-
277	영등포뉴타운지하상가 2번게이트	서울특별시 영등포구 영중로 22	126.905167	37.520119	-
278	쌍용플레티넘오피스텔	서울특별시 영등포구 도영로 18	126.895233	37.507931	-
279	영등포 푸르지오 아파트	서울특별시 영등포구 도신로29길 28	126.904465	37.513229	-
280	280. 양평동6차현대아파트 앞	-	126.89444	37.532101	-
281	281. 신동아아파트 앞	-	126.893982	37.498241	-
282	282. 신한은행	-	126.904877	37.48753	-
283	283. 아크로타워 스퀘어(영등포시장)	-	126.907219	37.522518	-
284	284. 센트럴 푸르지오 시티 앞	-	126.902229	37.518211	-
285	285. 대림3동사거리(하나은행)	-	126.89724	37.499859	-
286	286. 우성아파트 교차로	-	126.89975	37.494572	-
287	287. 영등포전화국사거리 (서강어린이공원)	-	126.905739	37.525768	-
288	쌍용예가(구청별관)	당산로31길 32 서측(구청별관 주변)	126.893387	37.528099	-
289	289. 대림3동사거리	-	126.898003	37.499809	-
290	당산동 SK V1 빌딩	영등포구 당산동4가 89-1	126.897827	37.531509	-
291	291. 문래동 하이테크 시티	-	126.89888	37.513851	-
292	292. 영일 어린이공원	-	126.904068	37.51012	-
293	충북 미래관	영등포구 당산동 121-258	126.907578	37.529171	-
295	영등포공원 분수대 앞	영등포구 신길로 275	126.911881	37.514824	-
296	KT플라자 영등포점	영등포구 영중로 119	126.90538	37.526302	-
